"Consent Statement 
Please indicate your consent by selecting one of the options below:",Age,Gender,Your Program/Course,10th Percentage,12th percentage,Current percentage/CGPA,Do you have any backlogs?,Are you Aware of Neuro-Linguistic Programming (NLP)?,How effectively can you regulate your emotions under pressure? ,How much does a positive emotional state improve your performance? ,How quickly can you shift from stress to calm? ,How well can you sustain a flow state while learning? ,How strongly does slow/deep breathing improve your mental clarity? ,How constructive is your self-talk during difficulty? ,How consistently do your mental patterns help you stay productive? ,How capable are you of creating new positive anchors intentionally? ,How effective are your positive triggers in boosting confidence? ,How frequently do you repeat specific study behaviors? ,How motivated are you to build new habits? ,How easily can you change your study approach when needed? ,How effectively do you track your progress? ,How effective is your usual approach to solving problems? ,How successful is your most effective strategy? ,How specific and measurable are your goals? ,How clearly defined are your steps toward achieving goals? ,How detailed are your mental rehearsals before exams? ,How motivating is your mental image of the future? ,How clearly do you define your desired results? ,How intense are the emotions you feel before tests or deadlines? ,How strongly does inner dialogue affect your performance? 
I Agree,21,Female,BTech,71,73,66,0,1,2,4,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,2
I Agree,22,Male,BSc,72,74,67,0,1,2,4,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,2
I Agree,23,Female,MCA,73,75,68,0,1,2,4,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,2
I Agree,24,Male,Diploma,74,76,69,0,1,2,4,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,2
I Agree,20,Female,BCA,70,72,65,0,1,2,4,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,2
I Agree,21,Male,BTech,71,73,66,0,1,2,4,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,2
I Agree,22,Female,BSc,72,74,67,0,1,2,4,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,2
I Agree,23,Male,MCA,73,75,68,0,1,2,4,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,2
I Agree,24,Female,Diploma,74,76,69,0,1,2,4,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,2
I Agree,20,Male,BCA,70,72,65,0,1,2,4,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,2
I Agree,21,Female,BTech,71,73,66,0,1,2,4,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,2
I Agree,22,Male,BSc,72,74,67,0,1,2,4,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,2
I Agree,23,Female,MCA,73,75,68,0,1,2,4,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,2
I Agree,24,Male,Diploma,74,76,69,0,1,2,4,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,2
I Agree,20,Female,BCA,70,72,65,0,1,2,4,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,2
I Agree,21,Male,BTech,71,73,66,0,1,2,4,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,2
I Agree,22,Female,BSc,72,74,67,0,1,2,4,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,2
