Attribute Name,Correlation Value,Correlation Type
12th percentage,0.926,Positive
10th Percentage,0.926,Positive
How clearly do you define your desired results? ,0.853,Positive
How motivating is your mental image of the future? ,0.853,Positive
How detailed are your mental rehearsals before exams? ,0.853,Positive
How clearly defined are your steps toward achieving goals? ,0.853,Positive
How specific and measurable are your goals? ,0.853,Positive
How successful is your most effective strategy? ,0.853,Positive
How effective is your usual approach to solving problems? ,0.853,Positive
How easily can you change your study approach when needed? ,0.853,Positive
How motivated are you to build new habits? ,0.853,Positive
How frequently do you repeat specific study behaviors? ,0.853,Positive
How effective are your positive triggers in boosting confidence? ,0.853,Positive
How capable are you of creating new positive anchors intentionally? ,0.853,Positive
How consistently do your mental patterns help you stay productive? ,0.853,Positive
How quickly can you adapt to new learning habits? ,0.853,Positive
How strongly does sleep quality influence your mood? ,0.853,Positive
How strongly do you believe your abilities improve with consistent effort? ,0.853,Positive
How constructive is your self-talk during difficulty? ,0.853,Positive
How strongly does slow/deep breathing improve your mental clarity? ,0.853,Positive
How well can you sustain a flow state while learning? ,0.853,Positive
How much does a positive emotional state improve your performance? ,0.853,Positive
Are you Aware of Neuro-Linguistic Programming (NLP)?,0.576,Positive
Do you have any backlogs?,-0.576,Negative
How effectively can you replace negative images with positive ones? ,-0.859,Negative
How quickly can you shift from stress to calm? ,-0.859,Negative
How effectively can you regulate your emotions under pressure? ,-0.859,Negative
How intense are the emotions you feel before tests or deadlines? ,-0.859,Negative
How strongly does inner dialogue affect your performance? ,-0.859,Negative
"
How effectively do you track your progress? ",,Neutral
