Age,Gender,Your Program/Course,10th Percentage,12th percentage,Current percentage/CGPA,Do you have any backlogs?,Are you Aware of Neuro-Linguistic Programming (NLP)?,How effectively can you regulate your emotions under pressure?,How much does a positive emotional state improve your performance?,How quickly can you shift from stress to calm?,How well can you sustain a flow state while learning?,How strongly does slow/deep breathing improve your mental clarity?,How constructive is your self-talk during difficulty?,How effectively can you replace negative images with positive ones?,How strongly do you believe your abilities improve with consistent effort?,How strongly does sleep quality influence your mood?,How quickly can you adapt to new learning habits?,How consistently do your mental patterns help you stay productive?,How capable are you of creating new positive anchors intentionally?,How effective are your positive triggers in boosting confidence?,How frequently do you repeat specific study behaviors?,How motivated are you to build new habits?,How easily can you change your study approach when needed?,How effectively do you track your progress?,How effective is your usual approach to solving problems?,How successful is your most effective strategy?,How specific and measurable are your goals?,How clearly defined are your steps toward achieving goals?,How detailed are your mental rehearsals before exams?,How motivating is your mental image of the future?,How clearly do you define your desired results?,How intense are the emotions you feel before tests or deadlines?,How strongly does inner dialogue affect your performance?,Consent
19,1,0,55.0,50.0,40.0,1,0,4,1,4,1,1,1,4,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,4,4,1
20,0,2,55.08,50.1,40.0,1,0,4,1,4,1,1,1,4,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,4,4,1
21,1,1,55.16,50.2,40.0,1,0,4,1,4,1,1,1,4,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,4,4,1
22,0,4,55.24,50.3,40.0,1,0,4,1,4,1,1,1,4,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,4,4,1
23,1,3,55.32,50.4,40.0,1,0,4,1,4,1,1,1,4,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,4,4,1
19,0,0,55.4,50.5,40.0,1,0,4,1,4,1,1,1,4,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,4,4,1
20,1,2,55.48,50.6,40.0,1,0,4,1,4,1,1,1,4,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,4,4,1
21,0,1,55.56,50.7,40.0,1,0,4,1,4,1,1,1,4,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,4,4,1
22,1,4,55.64,50.8,40.0,1,0,4,1,4,1,1,1,4,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,4,4,1
23,0,3,55.72,50.9,40.0,1,0,4,1,4,1,1,1,4,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,4,4,1
19,1,0,55.8,51.0,40.0,1,0,4,1,4,1,1,1,4,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,4,4,1
20,0,2,55.88,51.1,40.0,1,0,4,1,4,1,1,1,4,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,4,4,1
21,1,1,55.96,51.2,40.0,1,0,4,1,4,1,1,1,4,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,4,4,1
22,0,4,56.04,51.3,40.0,1,0,4,1,4,1,1,1,4,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,4,4,1
23,1,3,56.12,51.4,40.0,1,0,4,1,4,1,1,1,4,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,4,4,1
19,0,0,56.2,51.5,40.0,1,0,4,1,4,1,1,1,4,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,4,4,1
20,1,2,56.28,51.6,40.0,1,0,4,1,4,1,1,1,4,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,4,4,1
21,0,1,56.36,51.7,40.0,1,0,4,1,4,1,1,1,4,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,4,4,1
22,1,4,56.44,51.8,40.0,1,0,4,1,4,1,1,1,4,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,4,4,1
23,0,3,56.52,51.9,40.0,1,0,4,1,4,1,1,1,4,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,4,4,1
19,1,0,56.6,52.0,40.0,1,0,4,1,4,1,1,1,4,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,4,4,1
20,0,2,56.68,52.1,40.0,1,0,4,1,4,1,1,1,4,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,4,4,1
21,1,1,56.76,52.2,40.0,1,0,4,1,4,1,1,1,4,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,4,4,1
22,0,4,56.84,52.3,40.0,1,0,4,1,4,1,1,1,4,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,4,4,1
23,1,3,56.92,52.4,40.0,1,0,4,1,4,1,1,1,4,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,4,4,1
19,0,0,57.0,52.51,40.0,1,0,4,1,4,1,1,1,4,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,4,4,1
20,1,2,57.08,52.61,40.0,1,0,4,1,4,1,1,1,4,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,4,4,1
21,0,1,57.16,52.71,40.0,1,0,4,1,4,1,1,1,4,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,4,4,1
22,1,4,57.24,52.81,40.0,1,0,4,1,4,1,1,1,4,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,4,4,1
23,0,3,57.32,52.91,40.0,1,0,4,1,4,1,1,1,4,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,4,4,1
19,1,0,57.4,53.01,40.0,1,0,4,1,4,1,1,1,4,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,4,4,1
20,0,2,57.48,53.11,40.0,1,0,4,1,4,1,1,1,4,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,4,4,1
21,1,1,57.57,53.21,40.0,1,0,4,1,4,1,1,1,4,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,4,4,1
22,0,4,57.65,53.31,40.0,1,0,4,1,4,1,1,1,4,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,4,4,1
23,1,3,57.73,53.41,40.0,1,0,4,1,4,1,1,1,4,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,4,4,1
19,0,0,57.81,53.51,40.0,1,0,4,1,4,1,1,1,4,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,4,4,1
20,1,2,57.89,53.61,40.0,1,0,4,1,4,1,1,1,4,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,4,4,1
21,0,1,57.97,53.71,40.0,1,0,4,2,4,2,2,2,4,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,4,4,1
22,1,4,58.05,53.81,40.0,1,0,4,2,4,2,2,2,4,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,4,4,1
23,0,3,58.13,53.91,40.0,1,0,4,2,4,2,2,2,4,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,4,4,1
19,1,0,58.21,54.01,40.0,1,0,4,2,4,2,2,2,4,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,4,4,1
20,0,2,58.29,54.11,40.0,1,0,4,2,4,2,2,2,4,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,4,4,1
21,1,1,58.37,54.21,40.0,1,0,4,2,4,2,2,2,4,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,4,4,1
22,0,4,58.45,54.31,40.0,1,0,4,2,4,2,2,2,4,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,4,4,1
23,1,3,58.53,54.41,40.0,1,0,4,2,4,2,2,2,4,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,4,4,1
19,0,0,58.61,54.51,40.0,1,0,4,2,4,2,2,2,4,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,4,4,1
20,1,2,58.69,54.61,40.0,1,0,4,2,4,2,2,2,4,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,4,4,1
21,0,1,58.77,54.71,40.0,1,0,4,2,4,2,2,2,4,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,4,4,1
22,1,4,58.85,54.81,40.0,1,0,4,2,4,2,2,2,4,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,4,4,1
